trade_id,entry_signal_time,entry_time,signal,atr_expansion,pnl_bruto,pnl_neto,result,duration_hours,entry_allowed,experiment_id
46,2026-03-01 00:00:00+00:00,2026-03-01 04:00:00+00:00,LONG,1.1098918878586104,-0.7036701109154868,-0.95259565072432,LOSS,56.0,False,atr14_not_above_20bar_mean
47,2026-03-03 08:00:00+00:00,2026-03-03 12:00:00+00:00,SHORT,1.0727414308450538,-0.7314925373134415,-1.062607330560808,LOSS,120.0,False,atr14_not_above_20bar_mean
48,2026-03-08 08:00:00+00:00,2026-03-08 12:00:00+00:00,LONG,0.7877864837359242,3.1591300057341614,2.8948000205447446,WIN,68.0,True,atr14_not_above_20bar_mean
49,2026-03-11 04:00:00+00:00,2026-03-11 08:00:00+00:00,SHORT,1.0592592481455871,-2.4311211079224813,-2.7246169115996155,LOSS,92.0,False,atr14_not_above_20bar_mean
50,2026-03-15 00:00:00+00:00,2026-03-15 04:00:00+00:00,LONG,0.8366973998977524,3.594905966222996,3.3399662866912534,WIN,60.0,True,atr14_not_above_20bar_mean
51,2026-03-17 12:00:00+00:00,2026-03-17 16:00:00+00:00,SHORT,1.1082675359345302,4.150733975378492,3.896458695450856,WIN,64.0,False,atr14_not_above_20bar_mean
52,2026-03-20 04:00:00+00:00,2026-03-20 08:00:00+00:00,LONG,0.994527503847754,0.685618256792634,0.3347489630036762,WIN,136.0,True,atr14_not_above_20bar_mean
53,2026-03-25 20:00:00+00:00,2026-03-26 00:00:00+00:00,SHORT,1.002013212333258,6.052245871173612,5.800634420116925,WIN,64.0,False,atr14_not_above_20bar_mean
54,2026-03-28 12:00:00+00:00,2026-03-28 16:00:00+00:00,LONG,0.8900299318538324,-0.4926667303649914,-0.7518874850984381,LOSS,68.0,True,atr14_not_above_20bar_mean
55,2026-03-31 08:00:00+00:00,2026-03-31 12:00:00+00:00,SHORT,1.1004805612119233,-0.4946558563532771,-0.7854388649876494,LOSS,92.0,False,atr14_not_above_20bar_mean
56,2026-04-04 04:00:00+00:00,2026-04-04 08:00:00+00:00,LONG,0.7727658126216503,2.63398728914141,2.370392031362961,WIN,68.0,True,atr14_not_above_20bar_mean
57,2026-04-07 00:00:00+00:00,2026-04-07 04:00:00+00:00,SHORT,1.165657143537709,-6.583181082936725,-6.972493509302239,LOSS,160.0,False,atr14_not_above_20bar_mean
58,2026-04-13 16:00:00+00:00,2026-04-13 20:00:00+00:00,LONG,1.0240105958459524,2.156073048268015,1.903146440518936,WIN,56.0,False,atr14_not_above_20bar_mean
59,2026-04-16 00:00:00+00:00,2026-04-16 04:00:00+00:00,SHORT,1.0495241155936692,-1.87116158708063,-2.193872943212914,LOSS,112.0,False,atr14_not_above_20bar_mean
60,2026-04-20 16:00:00+00:00,2026-04-20 20:00:00+00:00,LONG,1.0194585237515632,2.303662175010663,2.0505290752479657,WIN,60.0,False,atr14_not_above_20bar_mean
61,2026-04-23 04:00:00+00:00,2026-04-23 08:00:00+00:00,SHORT,1.0002096330062151,0.8457987593755125,0.5868935942158118,WIN,68.0,False,atr14_not_above_20bar_mean
62,2026-04-26 00:00:00+00:00,2026-04-26 04:00:00+00:00,LONG,0.7508852155272511,0.5882406175621498,0.3675075648720375,WIN,32.0,True,atr14_not_above_20bar_mean
63,2026-04-27 08:00:00+00:00,2026-04-27 12:00:00+00:00,SHORT,0.94652407118557,1.0288634432801271,0.8002147335185305,WIN,44.0,True,atr14_not_above_20bar_mean
64,2026-04-29 04:00:00+00:00,2026-04-29 08:00:00+00:00,LONG,0.985749716399884,1.504471207914415,1.212456256593235,WIN,92.0,True,atr14_not_above_20bar_mean
65,2026-05-03 00:00:00+00:00,2026-05-03 04:00:00+00:00,SHORT,0.8559034947730075,-2.787021364519716,-3.151015749026568,LOSS,144.0,True,atr14_not_above_20bar_mean
66,2026-05-09 00:00:00+00:00,2026-05-09 04:00:00+00:00,LONG,0.8930574476539389,0.458173752531414,0.2176226764506649,WIN,52.0,True,atr14_not_above_20bar_mean
67,2026-05-11 04:00:00+00:00,2026-05-11 08:00:00+00:00,SHORT,1.0143935513495224,-0.6651071506452864,-0.946128944574577,LOSS,80.0,False,atr14_not_above_20bar_mean
68,2026-05-14 12:00:00+00:00,2026-05-14 16:00:00+00:00,LONG,1.1526987284665935,-2.6186033459042704,-2.8248497017627363,LOSS,24.0,False,atr14_not_above_20bar_mean
69,2026-05-15 12:00:00+00:00,2026-05-15 16:00:00+00:00,SHORT,1.133597277945118,2.354707709108282,2.0979163751756262,WIN,68.0,False,atr14_not_above_20bar_mean
70,2026-05-18 08:00:00+00:00,2026-05-18 12:00:00+00:00,LONG,0.9474095493407528,-0.0398679181050867,-0.309722183860434,LOSS,76.0,True,atr14_not_above_20bar_mean
71,2026-05-21 12:00:00+00:00,2026-05-21 16:00:00+00:00,SHORT,0.9673071804398736,0.6591189560798867,0.4099522710997105,WIN,56.0,True,atr14_not_above_20bar_mean
72,2026-05-23 20:00:00+00:00,2026-05-24 00:00:00+00:00,LONG,1.116991556584776,-0.0394966844944918,-0.2893514696429488,LOSS,56.0,False,atr14_not_above_20bar_mean
73,2026-05-26 04:00:00+00:00,2026-05-26 08:00:00+00:00,SHORT,0.9213516200684576,4.454456543000579,4.200606748154663,WIN,68.0,True,atr14_not_above_20bar_mean
74,2026-05-29 00:00:00+00:00,2026-05-29 04:00:00+00:00,LONG,1.0470164889368392,0.6309617560472127,0.3601689321930285,WIN,72.0,False,atr14_not_above_20bar_mean
75,2026-06-01 00:00:00+00:00,2026-06-01 04:00:00+00:00,SHORT,0.8468594056844068,13.381815617226842,13.120472163727344,WIN,84.0,True,atr14_not_above_20bar_mean
76,2026-06-04 12:00:00+00:00,2026-06-04 16:00:00+00:00,LONG,1.344196809190462,-1.6029174130350432,-1.9105848155390144,LOSS,108.0,False,atr14_not_above_20bar_mean
77,2026-06-09 00:00:00+00:00,2026-06-09 04:00:00+00:00,SHORT,0.8833987403319077,0.2353555236938905,-0.0044048116695028,LOSS,52.0,True,atr14_not_above_20bar_mean
78,2026-06-11 04:00:00+00:00,2026-06-11 08:00:00+00:00,LONG,0.9166199926467232,2.505853904410686,2.252437918108455,WIN,60.0,True,atr14_not_above_20bar_mean
79,2026-06-13 16:00:00+00:00,2026-06-13 20:00:00+00:00,SHORT,0.7702356159829817,1.6667133489563373,1.3189582034147906,WIN,140.0,True,atr14_not_above_20bar_mean
80,2026-06-19 12:00:00+00:00,2026-06-19 16:00:00+00:00,LONG,1.0198264714804892,1.174178826485803,0.9226259873840572,WIN,60.0,False,atr14_not_above_20bar_mean
81,2026-06-22 00:00:00+00:00,2026-06-22 04:00:00+00:00,SHORT,0.9358328005888882,3.2037175197974133,2.9381155640907943,WIN,76.0,True,atr14_not_above_20bar_mean
82,2026-06-25 04:00:00+00:00,2026-06-25 08:00:00+00:00,LONG,1.1972023283217323,-3.77560319809718,-4.060230794942054,LOSS,88.0,False,atr14_not_above_20bar_mean
